1,3.23
2,4.48
3,9.04
4,8.64
5,16.79
6,17.34
7,20.21
8,19.17
9,15.94
10,11.47
11,3.27
12,3.56
13,3.44
14,7.3
15,8.52
16,9.42
17,16.64
18,16.94
19,19.76
20,20.87
21,13.75
22,11.36
23,5.9
24,1.84
25,2.82
26,-0.55
27,8.49
28,9.33
29,12.16
30,15.98
31,22.25
32,21.84
33,17.67
34,9.51
35,4.97
36,1.33
37,2
38,3.48
39,7.17
40,10.29
41,17.11
42,18.67
43,20.61
44,21.55
45,15.43
46,8.22
47,7.21
48,2.7
49,4.51
50,0.47
51,5.86
52,13.09
53,16.69
54,18.48
55,18.89
56,19.44
57,14.48
58,9.3
59,2
60,5.26
61,4.4
62,2.67
63,9.08
64,9.97
65,15.04
66,18.92
67,23.65
68,19.85
69,15.38
70,9.37
71,8.91
72,5.49
73,2.08
74,6.59
75,5.34
76,10.98
77,14.59
78,16.52
79,22.27
80,20.18
81,13.92
82,13.05
83,4.23
84,0.97
85,-0.2
86,0.77
87,4.22
88,10.68
89,13.19
90,18
91,18.36
92,19.05
93,13.03
94,10.44
95,5.99
96,-0.27
97,-2.95
98,5.73
99,8.79
100,9.1
101,14.81
102,17.65
103,18.95
104,21.84
105,16.02
106,9.33
107,5.35
108,3.91
109,3.47
110,4.53
111,7.74
112,10.53
113,16.3
114,18.99
115,18.72
116,19.85
117,15.17
118,10.76
119,3.35
120,2.6
121,4.05
122,2.16
123,7.38
124,11.39
125,16.29
126,17.59
127,21.58
128,19.79
129,19.13
130,10.4
131,4.7
132,3.41
133,2.83
134,5.42
135,7.57
136,11.94
137,16.6
138,19.71
139,17.21
140,20.38
141,16.02
142,11.41
143,7.47
144,4.75
145,2.78
146,4.94
147,7.46
148,9.06
149,17.35
150,16.69
151,21.14
152,21.1
153,13.34
154,13.86
155,4.27
156,1.56
157,0.75
158,6.92
159,7.75
160,10.61
161,14.81
162,19.85
163,19.42
164,20.26
165,14.8
166,10.82
167,8.17
168,4.27
169,0.82
170,0.61
171,8.6
172,11.06
173,16.21
174,22.64
175,21.68
176,24.1
177,16.25
178,8.35
179,7.13
180,2.9
181,2.05
182,4.21
183,5.79
184,11.8
185,13.44
186,17.96
187,19.6
188,20.57
189,16.49
190,11.79
191,5.54
192,1.69
193,3.15
194,0.76
195,6.4
196,11.42
197,15.07
198,19.52
199,20.64
200,18.31
201,17.54
202,12.41
203,5.28
204,2.14
205,-0.83
206,1.83
207,4.53
208,10.78
209,15.79
210,19.23
211,24.43
212,16.98
213,18.38
214,13.45
215,8.32
216,4.87
217,6.35
218,6
219,7.66
220,14.45
221,16.45
222,19.27
223,19.29
224,18.89
225,14.07
226,10.02
227,4.84
228,2.19
229,4.98
230,4.66
231,6.46
232,9.6
233,17.82
234,19.36
235,20.23
236,19.26
237,13.91
238,10.46
239,6.3
240,1.95
241,-2.03
242,1.99
243,6.07
244,13.67
245,16.11
246,17.68
247,19.84
248,21.03
249,16.6
250,10.32
251,8.64
252,2.46
253,-1.06
254,2.36
255,6.31
256,11.18
257,12.54
258,18.93
259,21.83
260,18.36
261,14.16
262,9.28
263,7.06
264,-1.21
265,2.58
266,3.62
267,7.92
268,14.15
269,16.6
270,18.91
271,18.02
272,19.77
273,17.18
274,10.71
275,5.2
276,5.4
277,3.83
278,-1.04
279,8.97
280,10.25
281,16.69
282,18.03
283,19.72
284,21.18
285,15.4
286,9.85
287,6.57
288,3.89
289,2.24
290,0.99
291,3.44
292,10.54
293,12.9
294,17.79
295,22.36
296,19.84
297,15.62
298,12.13
299,5.82
300,4.47
301,4.61
302,5.81
303,8.79
304,13.28
305,14.43
306,18.85
307,20.85
308,17.76
309,16.53
310,13.37
311,7.63
312,4.31
313,3.09
314,2.04
315,7.01
316,10.97
317,15.35
318,18.76
319,22.83
320,21.99
321,15.04
322,10.08
323,8.42
324,7.37
325,3.96
326,5.34
327,6.04
328,9.84
329,15.15
330,18.44
331,21.08
332,20.25
333,18.63
334,9.81
335,5.56
336,2.29
337,0.55
338,-1.19
339,5.4
340,9.45
341,9.98
342,16.22
343,20.78
344,20.96
345,19.99
346,14.43
347,11.98
348,6.17
349,4.04
350,6.6
351,0.46
352,5.22
353,14.19
354,17.45
355,20.28
356,23.09
357,22.39
358,17.05
359,12.28
360,7.19
